,Year_Built,Size,opex_sqft_month,WalkScore,TransitScore,geohash,EstRentableArea,EstValue,Cap_Rate_Iss,Ownership,AirCon,Pool,Condition,constructionType,parkingType,numberOfBuildings,propertyTaxAmount,taxRate,zrent_median,mos_since_last_sale,Median_Home_Value_2019,Area_per_unit,Revenue_per_sqft_month
275,1995.0,104.0,0.49,42.0,39.24075664319679,9vk2e,87568.0,5565000.0,0.0766316853818508,Y,CENTRAL,Yes,AVERAGE,WOOD/STEEL,OFF STREET,8.0,66711.77,0.07163285442576246,1800.0,135.74529574003498,158000.0,842.0,0.97
277,1972.0,84.0,0.32,87.0,59.0,9q5cu,56575.0,4310000.0,0.0781003178654292,N,YES,POOL,AVERAGE,FRAME,GARAGE,1.0,138607.53,0.013,2513.0,218.76958781995447,190800.0,673.5119047619048,1.49
280,1972.0,165.0,0.355,62.0,2.3076923076923075,djn4m,156802.0,6000000.0,0.0873744562334217,Y,CENTRAL,COMMERCIAL,AVERAGE,WOOD,SHARED/COMMON,13.0,214960.89,0.025,1800.0,186.1775428087633,190800.0,950.3151515151516,1.3166666666666667
281,2000.0,65.0,0.6,83.0,61.0,9q9qb,70915.0,12000000.0,0.0552648333333333,Y,NONE,NONE,UNKNOWN,UNKNOWN,GARAGE,1.0,194478.6,0.014,1791.0,286.77919787354904,190800.0,1091.0,2.02
284,1974.0,189.0,0.37666666666666665,35.0,6.181818181818182,djn46,166868.0,5700000.0,0.1087026315789473,N,CENTRAL,NONE,AVERAGE,MASONRY,SHARED/COMMON,25.0,317718.15,0.02,1847.5,19.767554924001786,284800.0,882.8994708994709,1.3599999999999999
285,1974.0,189.0,0.37666666666666665,35.0,6.181818181818182,djn46,166868.0,18500000.0,0.0507113162162162,N,CENTRAL,NONE,AVERAGE,MASONRY,SHARED/COMMON,25.0,317718.15,0.02,1730.5,19.767554924001786,284800.0,882.8994708994709,1.82
294,1949.0,18.0,0.78,85.0,64.0,9tbq3,6640.0,350000.0,0.1014844720496894,N,EVAPORATIVE,NONE,AVERAGE,TILT-UP CONCRETE,UNKNOWN,2.0,6408.34,0.06766666666666668,1528.5,115.27670295578889,190800.0,368.8888888888889,1.9799999999999998
295,1942.0,17.0,0.15,71.0,35.0,dhxjc,10070.0,800000.0,0.07133466396396396,N,PACKAGE,NONE,AVERAGE,STEEL,UNKNOWN,1.0,42504.78,0.02,9000.0,20.358942837511304,190800.0,592.3529411764706,1.26
299,1964.0,36.0,0.49,61.0,39.24075664319679,9vffs,33276.0,1250000.0,0.0798136,N,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,1.0,61608.5,0.07163285442576246,1437.5,47.201383134026635,190800.0,924.3333333333334,1.97
300,1964.0,36.0,0.49,61.0,39.24075664319679,9vffs,33276.0,625000.0,0.1073500159999999,N,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,1.0,61608.5,0.07163285442576246,1364.5,47.201383134026635,190800.0,924.3333333333334,1.97
302,1948.0,11.0,0.5660000000000001,81.0,43.0,9q5f6,6908.0,470000.0,0.086288659574468,N,NONE,NONE,GOOD,WOOD,GARAGE/CARPORT,1.0,9468.0,0.004470588235294119,2724.0,280.33964059311205,614600.0,628.0,1.58
304,1986.0,15.0,0.5660000000000001,84.0,65.0,9q5f6,8438.0,425000.0,0.0849803294117647,N,NONE,NONE,GOOD,WOOD,UNKNOWN,1.0,41601.93,0.004470588235294119,2596.5,13.787966020738885,770100.0,562.5333333333333,1.19
305,1967.0,17.0,0.36,96.0,67.0,9mu9x,8500.0,550000.0,0.0697609090909091,Y,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,1.0,22422.7,0.011,2700.0,181.28216508026784,765700.0,500.0,1.17
306,1964.0,8.0,0.42500000000000004,62.0,28.0,9musc,5744.0,310000.0,0.0937935483870967,Y,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,1.0,21166.32,0.005599999999999999,3500.0,58.2406241862043,190800.0,718.0,1.6975
311,1954.0,10.0,0.59,68.0,69.0,9q5ch,4498.0,225000.0,0.09236,N,NONE,NONE,AVERAGE,WOOD,GARAGE/CARPORT,1.0,8228.42,0.006428571428571429,1924.0,282.5080629426469,432600.0,449.8,1.16
312,1954.0,8.0,0.7974999999999999,74.0,54.0,9q5cd,7236.0,190000.0,0.1068335263157894,N,NONE,NONE,GOOD,WOOD,UNKNOWN,1.0,4491.53,0.007629629629629629,2600.0,287.5677150915617,190800.0,904.5,2.025714285714286
313,1930.0,8.0,0.49,85.0,66.0,9q5cw,2040.0,240000.0,0.07861625,N,NONE,NONE,BELOW AVERAGE,WOOD,UNKNOWN,1.0,7789.64,0.00325,2887.0,412.94195275557945,419800.0,255.0,1.3
314,1969.0,142.0,0.49,65.0,3.7142857142857144,9vg57,118087.0,4250000.0,0.0872287058823529,N,CENTRAL,Yes,GOOD,WOOD,UNKNOWN,1.0,252262.5,0.07163285442576246,1447.5,89.7813129067119,190800.0,831.5985915492957,1.775
315,1986.0,192.0,0.4175,44.0,4.375,9vg5e,115400.0,9200000.0,0.0618611706521739,Y,CENTRAL,COMMERCIAL,GOOD,UNKNOWN,CARPORT,4.0,32935.05,0.07163285442576246,1595.0,64.05593866904789,217700.0,601.0416666666666,1.3439999999999999
319,1978.0,196.0,0.5,48.0,8.166666666666666,9vg5q,199400.0,17500000.0,0.0602237194285714,Y,CENTRAL,NONE,POOR,WOOD,UNKNOWN,1.0,177397.34,0.07163285442576246,1375.0,102.10189443816019,252600.0,1017.3469387755102,1.7758333333333332
321,1978.0,196.0,0.5,48.0,8.166666666666666,9vg5q,199400.0,10350000.0,0.0873082695652174,Y,CENTRAL,NONE,POOR,WOOD,UNKNOWN,1.0,177397.34,0.07163285442576246,1497.0,102.10189443816019,252600.0,1017.3469387755102,1.7758333333333332
323,1984.0,304.0,0.42111111111111116,34.0,9.214285714285714,9vg5u,228395.0,29700000.0,0.0494729117845117,N,CENTRAL,COMMERCIAL,GOOD,UNKNOWN,OPEN SPACE(S),4.0,58161.56,0.07163285442576246,1497.0,54.10090879163767,190800.0,751.2993421052631,2.5374999999999996
324,1984.0,304.0,0.42111111111111116,34.0,9.214285714285714,9vg5u,228395.0,15250000.0,0.07110408990778685,N,CENTRAL,COMMERCIAL,GOOD,UNKNOWN,OPEN SPACE(S),4.0,58161.56,0.07163285442576246,1480.0,54.10090879163767,190800.0,751.2993421052631,2.5374999999999996
332,2001.0,582.0,0.8344444444444444,53.0,7.619047619047619,9vg5s,396669.0,50900000.0,0.051536347151277,N,CENTRAL,COMMERCIAL,UNKNOWN,WOOD/STEEL,OPEN SPACE(S),4.0,131630.04,0.07163285442576246,1497.0,67.63712103418887,190800.0,681.5618556701031,1.7690000000000001
333,2001.0,582.0,0.8344444444444444,53.0,7.619047619047619,9vg5s,396669.0,35600000.0,0.0765073033707865,N,CENTRAL,COMMERCIAL,UNKNOWN,WOOD/STEEL,OPEN SPACE(S),4.0,131630.04,0.07163285442576246,1595.0,67.63712103418887,190800.0,681.5618556701031,1.7690000000000001
337,2002.0,120.0,0.58,46.0,15.0,djmuv,74790.0,6160000.0,0.0504696428571428,N,CENTRAL,Yes,AVERAGE,WOOD FRAME/METAL,UNKNOWN,1.0,50283.65,0.019,1195.0,29.42689084465724,393000.0,623.25,1.29
338,1985.0,124.0,0.5700000000000001,48.0,4.066666666666666,9vffk,95911.0,3740000.0,0.0623614973262032,Y,NONE,Yes,UNKNOWN,UNKNOWN,UNKNOWN,1.0,206975.92,0.07163285442576246,1550.0,95.76090180997481,173700.0,773.4758064516129,1.735
340,1971.0,221.0,0.49,58.0,39.24075664319679,9vffy,193968.0,16870000.0,0.06279337742140716,N,NONE,Yes,UNKNOWN,UNKNOWN,UNKNOWN,1.0,284083.07,0.07163285442576246,1250.0,24.40009357982634,152200.0,877.683257918552,1.06
